method,metric,n_seeds,mean_pct,sample_std_pct
V2_A,clean_accuracy_pct,3,75.90714285714286,0.8684585005822452
V2_A,leo_clear_weak_accuracy_pct,3,61.12182539682539,1.7119925483043827
V2_A,leo_low_elev_weak_accuracy_pct,3,59.714087301587305,1.6247878735317431
V2_A,leo_rain_weak_accuracy_pct,3,59.600793650793655,1.5607294200953936
V2_A,leo_mean_accuracy_pct,3,60.14556878306878,1.6315373078926003
V2_A,leo_mean_macro_f1_pct,3,60.22989080099288,1.9553239537285132
V2_B,clean_accuracy_pct,3,74.68353174603175,1.7476326647862759
V2_B,leo_clear_weak_accuracy_pct,3,62.422222222222224,2.6461019022012295
V2_B,leo_low_elev_weak_accuracy_pct,3,60.584920634920636,2.4069198042449447
V2_B,leo_rain_weak_accuracy_pct,3,60.49186507936508,2.1380691658890454
V2_B,leo_mean_accuracy_pct,3,61.16633597883598,2.3958163538566
V2_B,leo_mean_macro_f1_pct,3,61.112568410432054,2.169230069559298
V2_C,clean_accuracy_pct,3,75.90714285714286,0.8684585005822452
V2_C,leo_clear_weak_accuracy_pct,3,61.12182539682539,1.7119925483043827
V2_C,leo_low_elev_weak_accuracy_pct,3,59.714087301587305,1.6247878735317431
V2_C,leo_rain_weak_accuracy_pct,3,59.600793650793655,1.5607294200953936
V2_C,leo_mean_accuracy_pct,3,60.14556878306878,1.6315373078926003
V2_C,leo_mean_macro_f1_pct,3,60.22989080099288,1.9553239537285132
V2_D,clean_accuracy_pct,3,75.39107142857142,0.632859035165039
V2_D,leo_clear_weak_accuracy_pct,3,59.40535714285714,1.6863895733441576
V2_D,leo_low_elev_weak_accuracy_pct,3,57.88194444444444,1.7596124419221393
V2_D,leo_rain_weak_accuracy_pct,3,57.96646825396825,1.7632009724144395
V2_D,leo_mean_accuracy_pct,3,58.41792328042328,1.7309183717781067
V2_D,leo_mean_macro_f1_pct,3,57.819340254455646,2.170211790735246
V2_E,clean_accuracy_pct,3,74.70039682539682,4.2280542643001855
V2_E,leo_clear_weak_accuracy_pct,3,64.48412698412699,2.301849465090951
V2_E,leo_low_elev_weak_accuracy_pct,3,62.86666666666667,2.2708985511448625
V2_E,leo_rain_weak_accuracy_pct,3,62.78313492063492,2.3098595525882724
V2_E,leo_mean_accuracy_pct,3,63.3779761904762,2.2912636301261187
V2_E,leo_mean_macro_f1_pct,3,63.22289073983444,2.9471666453093786
V2_F,clean_accuracy_pct,3,76.85119047619048,1.2043011247107551
V2_F,leo_clear_weak_accuracy_pct,3,64.88611111111112,2.330372980343111
V2_F,leo_low_elev_weak_accuracy_pct,3,63.2015873015873,2.1620245873984634
V2_F,leo_rain_weak_accuracy_pct,3,63.148611111111116,2.053811781425528
V2_F,leo_mean_accuracy_pct,3,63.7454365079365,2.181710331242614
V2_F,leo_mean_macro_f1_pct,3,63.72902193923836,2.5337711010003114
V2_STRONG_SOURCE_LR_BASE,clean_accuracy_pct,1,76.69404761904762,
V2_STRONG_SOURCE_LR_BASE,leo_clear_weak_accuracy_pct,1,65.23214285714286,
V2_STRONG_SOURCE_LR_BASE,leo_low_elev_weak_accuracy_pct,1,63.215476190476195,
V2_STRONG_SOURCE_LR_BASE,leo_rain_weak_accuracy_pct,1,62.80535714285714,
V2_STRONG_SOURCE_LR_BASE,leo_mean_accuracy_pct,1,63.75099206349207,
V2_STRONG_SOURCE_LR_BASE,leo_mean_macro_f1_pct,1,63.564699952720375,
V2_STRONG_SOURCE_LR_HIGH,clean_accuracy_pct,1,79.72559523809524,
V2_STRONG_SOURCE_LR_HIGH,leo_clear_weak_accuracy_pct,1,69.18809523809524,
V2_STRONG_SOURCE_LR_HIGH,leo_low_elev_weak_accuracy_pct,1,67.11666666666667,
V2_STRONG_SOURCE_LR_HIGH,leo_rain_weak_accuracy_pct,1,66.49285714285715,
V2_STRONG_SOURCE_LR_HIGH,leo_mean_accuracy_pct,1,67.59920634920636,
V2_STRONG_SOURCE_LR_HIGH,leo_mean_macro_f1_pct,1,67.09574907036406,
V2_STRONG_SOURCE_LR_LOW,clean_accuracy_pct,1,77.29166666666667,
V2_STRONG_SOURCE_LR_LOW,leo_clear_weak_accuracy_pct,1,58.691071428571426,
V2_STRONG_SOURCE_LR_LOW,leo_low_elev_weak_accuracy_pct,1,56.97678571428572,
V2_STRONG_SOURCE_LR_LOW,leo_rain_weak_accuracy_pct,1,56.87559523809524,
V2_STRONG_SOURCE_LR_LOW,leo_mean_accuracy_pct,1,57.51448412698412,
V2_STRONG_SOURCE_LR_LOW,leo_mean_macro_f1_pct,1,57.61350297085029,
