outer_key,arm_id,outer_role,receiver,seed,k_shot,new_class_count,slice,scenario,old_query_count,new_query_count,e0_old_query_count,e0_new_query_count,candidate_h_old_new,e0_h_old_new,delta_h_old_new,candidate_old_balanced_accuracy,e0_old_balanced_accuracy,delta_old_balanced_accuracy,candidate_c_old_acc,e0_c_old_acc,delta_c_old_acc,candidate_old_floor,e0_old_floor,delta_old_floor,candidate_seen_new_acc,e0_seen_new_acc,delta_seen_new_acc,candidate_average_forgetting,e0_average_forgetting,delta_average_forgetting,candidate_new_to_old_rate,e0_new_to_old_rate,delta_new_to_old_rate,candidate_old_to_new_rate,e0_old_to_new_rate,delta_old_to_new_rate
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713104,5,20,K5_new20,leo_clear_weak,120.0,400.0,120.0,400.0,0.327694090382387,0.7290763968072976,-0.40138230642491063,0.4666666666666666,0.7666666666666666,-0.3,0.4666666666666667,0.7666666666666667,-0.30000000000000004,0.05,0.45,-0.4,0.2525,0.695,-0.44249999999999995,0.44999999999999996,0.1499999999999999,0.30000000000000004,0.605,0.1275,0.4775,0.13333333333333333,0.175,-0.04166666666666666
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713104,5,20,K5_new20,leo_low_elev_weak,120.0,400.0,120.0,400.0,0.5239098837209303,0.6731707317073171,-0.14926084798638684,0.7416666666666667,0.7666666666666666,-0.02499999999999991,0.7416666666666667,0.7666666666666667,-0.025000000000000022,0.0,0.4,-0.4,0.405,0.6,-0.19499999999999995,0.15833333333333333,0.1333333333333333,0.025000000000000022,0.4025,0.175,0.22750000000000004,0.075,0.13333333333333333,-0.058333333333333334
rx_7_7__seed_713104__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713104,5,20,K5_new20,leo_rain_weak,120.0,400.0,120.0,400.0,0.41230314960629916,0.689156626506024,-0.2768534768997249,0.49166666666666664,0.7333333333333334,-0.24166666666666675,0.49166666666666664,0.7333333333333333,-0.24166666666666664,0.0,0.4,-0.4,0.355,0.65,-0.29500000000000004,0.4333333333333334,0.19166666666666676,0.24166666666666664,0.48,0.1075,0.3725,0.1,0.20833333333333334,-0.10833333333333334
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713103,10,5,K10_new5,leo_clear_weak,120.0,100.0,120.0,100.0,0.5207386363636364,0.8541463414634146,-0.33340770509977824,0.7833333333333333,0.8583333333333334,-0.07500000000000007,0.7833333333333333,0.8583333333333333,-0.07499999999999996,0.45,0.55,-0.10000000000000003,0.39,0.85,-0.45999999999999996,0.18333333333333335,0.10833333333333339,0.07499999999999996,0.61,0.14,0.47,0.041666666666666664,0.09166666666666666,-0.049999999999999996
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713103,10,5,K10_new5,leo_low_elev_weak,120.0,100.0,120.0,100.0,0.42868068833652007,0.821501014198783,-0.3928203258622629,0.4916666666666667,0.8333333333333334,-0.3416666666666667,0.49166666666666664,0.8333333333333334,-0.34166666666666673,0.15,0.6,-0.44999999999999996,0.38,0.81,-0.43000000000000005,0.4583333333333333,0.11666666666666659,0.34166666666666673,0.35,0.15,0.19999999999999998,0.4083333333333333,0.10833333333333334,0.3
rx_7_7__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,7-7,713103,10,5,K10_new5,leo_rain_weak,120.0,100.0,120.0,100.0,0.3966735966735967,0.8007238883143742,-0.40405029164077755,0.44166666666666665,0.7416666666666667,-0.30000000000000004,0.44166666666666665,0.7416666666666667,-0.30000000000000004,0.1,0.45,-0.35,0.36,0.87,-0.51,0.44166666666666665,0.1416666666666666,0.30000000000000004,0.6,0.12,0.48,0.18333333333333332,0.16666666666666666,0.016666666666666663
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,8-8,713103,5,20,K5_new20,leo_clear_weak,120.0,400.0,120.0,400.0,0.4323699421965318,0.7647058823529411,-0.3323359401564093,0.42500000000000004,0.75,-0.32499999999999996,0.425,0.75,-0.325,0.0,0.35,-0.35,0.44,0.78,-0.34,0.47500000000000003,0.15000000000000002,0.325,0.0125,0.105,-0.0925,0.5416666666666666,0.1,0.44166666666666665
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,8-8,713103,5,20,K5_new20,leo_low_elev_weak,120.0,400.0,120.0,400.0,0.24079601990049754,0.6151209677419355,-0.37432494784143794,0.19999999999999998,0.6749999999999999,-0.475,0.2,0.675,-0.47500000000000003,0.0,0.45,-0.45,0.3025,0.565,-0.26249999999999996,0.6666666666666667,0.19166666666666665,0.4750000000000001,0.065,0.1875,-0.1225,0.7666666666666667,0.25833333333333336,0.5083333333333333
rx_8_8__seed_713103__k_5__new_20,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,8-8,713103,5,20,K5_new20,leo_rain_weak,120.0,400.0,120.0,400.0,0.32374517374517375,0.6057692307692308,-0.2820240570240571,0.325,0.5833333333333334,-0.25833333333333336,0.325,0.5833333333333334,-0.25833333333333336,0.0,0.05,-0.05,0.3225,0.63,-0.3075,0.425,0.16666666666666663,0.25833333333333336,0.0825,0.1075,-0.024999999999999994,0.5166666666666667,0.325,0.1916666666666667
rx_8_8__seed_713103__k_10__new_5,E0_FULL_D42_QUANTIZATION_INTERCEPT_CLOSURE,performance,8-8,713103,10,5,K10_new5,leo_clear_weak,120.0,100.0,120.0,100.0,0.47580919931856896,0.8698564593301435,-0.3940472600115746,0.4083333333333334,0.8416666666666667,-0.4333333333333333,0.4083333333333333,0.8416666666666667,-0.43333333333333335,0.0,0.65,-0.65,0.57,0.9,-0.33000000000000007,0.5083333333333333,0.07499999999999996,0.43333333333333335,0.09,0.07,0.01999999999999999,0.5583333333333333,0.05,0.5083333333333333
