run_id,scene,truth,prediction,count
V2_A_seed392005,clean,0,0,4438
V2_A_seed392005,clean,0,1,7
V2_A_seed392005,clean,0,2,8
V2_A_seed392005,clean,0,3,10
V2_A_seed392005,clean,0,4,28
V2_A_seed392005,clean,0,5,9
V2_A_seed392005,clean,1,0,12
V2_A_seed392005,clean,1,1,4420
V2_A_seed392005,clean,1,2,11
V2_A_seed392005,clean,1,3,23
V2_A_seed392005,clean,1,4,26
V2_A_seed392005,clean,1,5,8
V2_A_seed392005,clean,2,0,2
V2_A_seed392005,clean,2,1,3
V2_A_seed392005,clean,2,2,4449
V2_A_seed392005,clean,2,3,6
V2_A_seed392005,clean,2,4,26
V2_A_seed392005,clean,2,5,14
V2_A_seed392005,clean,3,0,7
V2_A_seed392005,clean,3,1,194
V2_A_seed392005,clean,3,2,11
V2_A_seed392005,clean,3,3,4241
V2_A_seed392005,clean,3,4,43
V2_A_seed392005,clean,3,5,4
V2_A_seed392005,clean,4,0,23
V2_A_seed392005,clean,4,1,1
V2_A_seed392005,clean,4,2,3
V2_A_seed392005,clean,4,3,2
V2_A_seed392005,clean,4,4,4461
V2_A_seed392005,clean,4,5,10
V2_A_seed392005,clean,5,0,3
V2_A_seed392005,clean,5,1,4
V2_A_seed392005,clean,5,2,5
V2_A_seed392005,clean,5,3,3
V2_A_seed392005,clean,5,4,20
V2_A_seed392005,clean,5,5,4465
V2_A_seed392005,leo_clear_weak,0,0,3002
V2_A_seed392005,leo_clear_weak,0,1,796
V2_A_seed392005,leo_clear_weak,0,2,24
V2_A_seed392005,leo_clear_weak,0,3,535
V2_A_seed392005,leo_clear_weak,0,4,116
V2_A_seed392005,leo_clear_weak,0,5,27
V2_A_seed392005,leo_clear_weak,1,0,93
V2_A_seed392005,leo_clear_weak,1,1,3802
V2_A_seed392005,leo_clear_weak,1,2,26
V2_A_seed392005,leo_clear_weak,1,3,378
V2_A_seed392005,leo_clear_weak,1,4,169
V2_A_seed392005,leo_clear_weak,1,5,32
V2_A_seed392005,leo_clear_weak,2,0,3
V2_A_seed392005,leo_clear_weak,2,1,27
V2_A_seed392005,leo_clear_weak,2,2,4374
V2_A_seed392005,leo_clear_weak,2,3,13
V2_A_seed392005,leo_clear_weak,2,4,56
V2_A_seed392005,leo_clear_weak,2,5,27
V2_A_seed392005,leo_clear_weak,3,0,74
V2_A_seed392005,leo_clear_weak,3,1,658
V2_A_seed392005,leo_clear_weak,3,2,18
V2_A_seed392005,leo_clear_weak,3,3,3508
V2_A_seed392005,leo_clear_weak,3,4,235
V2_A_seed392005,leo_clear_weak,3,5,7
V2_A_seed392005,leo_clear_weak,4,0,32
V2_A_seed392005,leo_clear_weak,4,1,12
V2_A_seed392005,leo_clear_weak,4,2,9
V2_A_seed392005,leo_clear_weak,4,3,19
V2_A_seed392005,leo_clear_weak,4,4,4413
V2_A_seed392005,leo_clear_weak,4,5,15
V2_A_seed392005,leo_clear_weak,5,0,6
V2_A_seed392005,leo_clear_weak,5,1,11
V2_A_seed392005,leo_clear_weak,5,2,13
V2_A_seed392005,leo_clear_weak,5,3,6
V2_A_seed392005,leo_clear_weak,5,4,27
V2_A_seed392005,leo_clear_weak,5,5,4437
V2_A_seed392005,leo_low_elev_weak,0,0,2784
V2_A_seed392005,leo_low_elev_weak,0,1,813
V2_A_seed392005,leo_low_elev_weak,0,2,54
V2_A_seed392005,leo_low_elev_weak,0,3,631
V2_A_seed392005,leo_low_elev_weak,0,4,172
V2_A_seed392005,leo_low_elev_weak,0,5,46
V2_A_seed392005,leo_low_elev_weak,1,0,110
V2_A_seed392005,leo_low_elev_weak,1,1,3564
V2_A_seed392005,leo_low_elev_weak,1,2,38
V2_A_seed392005,leo_low_elev_weak,1,3,439
V2_A_seed392005,leo_low_elev_weak,1,4,296
V2_A_seed392005,leo_low_elev_weak,1,5,53
V2_A_seed392005,leo_low_elev_weak,2,0,6
V2_A_seed392005,leo_low_elev_weak,2,1,31
V2_A_seed392005,leo_low_elev_weak,2,2,4308
V2_A_seed392005,leo_low_elev_weak,2,3,18
V2_A_seed392005,leo_low_elev_weak,2,4,74
V2_A_seed392005,leo_low_elev_weak,2,5,63
V2_A_seed392005,leo_low_elev_weak,3,0,126
V2_A_seed392005,leo_low_elev_weak,3,1,820
V2_A_seed392005,leo_low_elev_weak,3,2,35
V2_A_seed392005,leo_low_elev_weak,3,3,3169
V2_A_seed392005,leo_low_elev_weak,3,4,332
V2_A_seed392005,leo_low_elev_weak,3,5,18
V2_A_seed392005,leo_low_elev_weak,4,0,38
V2_A_seed392005,leo_low_elev_weak,4,1,25
V2_A_seed392005,leo_low_elev_weak,4,2,14
V2_A_seed392005,leo_low_elev_weak,4,3,26
V2_A_seed392005,leo_low_elev_weak,4,4,4379
V2_A_seed392005,leo_low_elev_weak,4,5,18
V2_A_seed392005,leo_low_elev_weak,5,0,5
V2_A_seed392005,leo_low_elev_weak,5,1,8
V2_A_seed392005,leo_low_elev_weak,5,2,36
V2_A_seed392005,leo_low_elev_weak,5,3,3
V2_A_seed392005,leo_low_elev_weak,5,4,49
V2_A_seed392005,leo_low_elev_weak,5,5,4399
V2_A_seed392005,leo_rain_weak,0,0,2916
V2_A_seed392005,leo_rain_weak,0,1,864
V2_A_seed392005,leo_rain_weak,0,2,35
V2_A_seed392005,leo_rain_weak,0,3,484
V2_A_seed392005,leo_rain_weak,0,4,173
V2_A_seed392005,leo_rain_weak,0,5,28
V2_A_seed392005,leo_rain_weak,1,0,151
V2_A_seed392005,leo_rain_weak,1,1,3500
V2_A_seed392005,leo_rain_weak,1,2,38
V2_A_seed392005,leo_rain_weak,1,3,475
V2_A_seed392005,leo_rain_weak,1,4,283
V2_A_seed392005,leo_rain_weak,1,5,53
V2_A_seed392005,leo_rain_weak,2,0,7
V2_A_seed392005,leo_rain_weak,2,1,28
V2_A_seed392005,leo_rain_weak,2,2,4305
V2_A_seed392005,leo_rain_weak,2,3,26
V2_A_seed392005,leo_rain_weak,2,4,78
V2_A_seed392005,leo_rain_weak,2,5,56
V2_A_seed392005,leo_rain_weak,3,0,179
V2_A_seed392005,leo_rain_weak,3,1,878
V2_A_seed392005,leo_rain_weak,3,2,31
V2_A_seed392005,leo_rain_weak,3,3,3070
V2_A_seed392005,leo_rain_weak,3,4,322
V2_A_seed392005,leo_rain_weak,3,5,20
V2_A_seed392005,leo_rain_weak,4,0,31
V2_A_seed392005,leo_rain_weak,4,1,31
V2_A_seed392005,leo_rain_weak,4,2,14
V2_A_seed392005,leo_rain_weak,4,3,25
V2_A_seed392005,leo_rain_weak,4,4,4384
V2_A_seed392005,leo_rain_weak,4,5,15
V2_A_seed392005,leo_rain_weak,5,0,5
V2_A_seed392005,leo_rain_weak,5,1,7
V2_A_seed392005,leo_rain_weak,5,2,22
V2_A_seed392005,leo_rain_weak,5,3,3
V2_A_seed392005,leo_rain_weak,5,4,44
V2_A_seed392005,leo_rain_weak,5,5,4419
V2_A_seed392006,clean,0,0,4431
V2_A_seed392006,clean,0,1,5
V2_A_seed392006,clean,0,2,9
V2_A_seed392006,clean,0,3,12
V2_A_seed392006,clean,0,4,38
V2_A_seed392006,clean,0,5,5
V2_A_seed392006,clean,1,0,20
V2_A_seed392006,clean,1,1,4367
V2_A_seed392006,clean,1,2,20
V2_A_seed392006,clean,1,3,63
V2_A_seed392006,clean,1,4,27
V2_A_seed392006,clean,1,5,3
V2_A_seed392006,clean,2,0,0
V2_A_seed392006,clean,2,1,12
V2_A_seed392006,clean,2,2,4461
V2_A_seed392006,clean,2,3,7
V2_A_seed392006,clean,2,4,15
V2_A_seed392006,clean,2,5,5
V2_A_seed392006,clean,3,0,25
V2_A_seed392006,clean,3,1,153
V2_A_seed392006,clean,3,2,9
V2_A_seed392006,clean,3,3,4283
V2_A_seed392006,clean,3,4,27
V2_A_seed392006,clean,3,5,3
V2_A_seed392006,clean,4,0,22
V2_A_seed392006,clean,4,1,4
V2_A_seed392006,clean,4,2,11
V2_A_seed392006,clean,4,3,7
V2_A_seed392006,clean,4,4,4449
V2_A_seed392006,clean,4,5,7
V2_A_seed392006,clean,5,0,2
V2_A_seed392006,clean,5,1,9
V2_A_seed392006,clean,5,2,19
V2_A_seed392006,clean,5,3,10
V2_A_seed392006,clean,5,4,11
V2_A_seed392006,clean,5,5,4449
V2_A_seed392006,leo_clear_weak,0,0,3441
V2_A_seed392006,leo_clear_weak,0,1,620
V2_A_seed392006,leo_clear_weak,0,2,23
V2_A_seed392006,leo_clear_weak,0,3,321
V2_A_seed392006,leo_clear_weak,0,4,83
V2_A_seed392006,leo_clear_weak,0,5,12
V2_A_seed392006,leo_clear_weak,1,0,160
V2_A_seed392006,leo_clear_weak,1,1,3902
