arm,feature_path,checkpoint_load_strict,missing_keys,unexpected_keys,shape_mismatch,tta_view_count,fft_dim,adapter_epochs,uses_target_labels_for_training
E10,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E10\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E10\features_full_adapter5_fft96_e10.npz,True,0,0,0,5,96,10,False
E10,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E10\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E10\features_full_adapter5_fft96_e10.npz,True,0,0,0,5,96,10,False
E10,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E10\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E10\features_full_adapter5_fft96_e10.npz,True,0,0,0,5,96,10,False
E10,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E10\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E10\features_full_adapter5_fft96_e10.npz,True,0,0,0,5,96,10,False
E10,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E10\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E10\features_full_adapter5_fft96_e10.npz,True,0,0,0,5,96,10,False
E2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E2\FULL_RX_20-1\ADV3B02_FULL_ADAPTER5_FFT96_E2\features_full_adapter5_fft96_e2.npz,True,0,0,0,5,96,2,False
E2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E2\FULL_RX_3-19\ADV3B02_FULL_ADAPTER5_FFT96_E2\features_full_adapter5_fft96_e2.npz,True,0,0,0,5,96,2,False
E2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E2\FULL_RX_7-14\ADV3B02_FULL_ADAPTER5_FFT96_E2\features_full_adapter5_fft96_e2.npz,True,0,0,0,5,96,2,False
E2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E2\FULL_RX_7-7\ADV3B02_FULL_ADAPTER5_FFT96_E2\features_full_adapter5_fft96_e2.npz,True,0,0,0,5,96,2,False
E2,E:\type10-7\local_artifacts\qknnv42_nondense_adapter_epoch_features_20260715\E2\FULL_RX_8-8\ADV3B02_FULL_ADAPTER5_FFT96_E2\features_full_adapter5_fft96_e2.npz,True,0,0,0,5,96,2,False
