accepted,adaptation_mode,day_i,gate_method,predicted_label,role,rx_label,sample_id,scenario,sig_i,true_label,tx_label,unknown_score
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig5,leo_clear_weak,5,0,14-10,-0.5296951532363892
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig6,leo_clear_weak,6,0,14-10,-0.2716520428657532
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig7,leo_clear_weak,7,0,14-10,-0.314036101102829
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig8,leo_clear_weak,8,0,14-10,-0.38209086656570435
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig9,leo_clear_weak,9,0,14-10,-0.4528193175792694
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig10,leo_clear_weak,10,0,14-10,-0.41135919094085693
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig11,leo_clear_weak,11,0,14-10,-0.36071982979774475
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig12,leo_clear_weak,12,0,14-10,-0.5842429399490356
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig13,leo_clear_weak,13,0,14-10,-0.6316168904304504
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig14,leo_clear_weak,14,0,14-10,-0.5670992732048035
True,support_head_finetune,0,support_head_confidence_quantile,0,target_old_query,20-1,14-10|20-1|day0|eq1|sig15,leo_clear_weak,15,0,14-10,-0.3280789852142334
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-10|20-1|day0|eq1|sig16,leo_clear_weak,16,0,14-10,-0.2556065320968628
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig17,leo_clear_weak,17,0,14-10,-0.4224661588668823
True,support_head_finetune,0,support_head_confidence_quantile,6,target_old_query,20-1,14-10|20-1|day0|eq1|sig18,leo_clear_weak,18,0,14-10,-0.44775325059890747
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig19,leo_clear_weak,19,0,14-10,-0.4305601119995117
True,support_head_finetune,0,support_head_confidence_quantile,5,target_old_query,20-1,14-10|20-1|day0|eq1|sig20,leo_clear_weak,20,0,14-10,-0.33195826411247253
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig21,leo_clear_weak,21,0,14-10,-0.2901054918766022
True,support_head_finetune,0,support_head_confidence_quantile,1,target_old_query,20-1,14-10|20-1|day0|eq1|sig22,leo_clear_weak,22,0,14-10,-0.2823539674282074
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-10|20-1|day0|eq1|sig23,leo_clear_weak,23,0,14-10,-0.27723172307014465
True,support_head_finetune,0,support_head_confidence_quantile,7,target_old_query,20-1,14-10|20-1|day0|eq1|sig24,leo_clear_weak,24,0,14-10,-0.35235416889190674
True,support_head_finetune,0,support_head_confidence_quantile,3,target_old_query,20-1,14-7|20-1|day0|eq1|sig5,leo_clear_weak,5,1,14-7,-0.43334633111953735
